age,gender,track,strand,g7_filipino,g7_english,g7_math,g7_science,g7_ap,g7_tle,g7_mapeh,g7_esp,g7_average,g8_filipino,g8_english,g8_math,g8_science,g8_ap,g8_tle,g8_mapeh,g8_esp,g8_average,g9_filipino,g9_english,g9_math,g9_science,g9_ap,g9_tle,g9_mapeh,g9_esp,g9_average,g10_filipino,g10_english,g10_math,g10_science,g10_ap,g10_tle,g10_mapeh,g10_esp,g10_average
16,Female,Academic,HUMSS,80.26,87.05,89.18,79.06,83.88,81.12,76.71,85.47,92.11,83.6,89.91,92.53,95.03,83.85,90.91,96.28,94.14,92.29,96.82,93.79,84.58,91.85,83.82,92.67,84.2,86.04,85.67,82.71,99.96,75.37,98.51,98.92,81.92,96.61,81.51,89.89
15,Female,Academic,HUMSS,86.16,84,91.94,90.48,79.67,77.39,87.53,82.12,90.93,92.3,90.46,79.09,94,93.17,94.99,79.36,85.51,87.5,98.67,83.22,80.86,84.88,75.13,93.47,95.5,80.82,86.34,85.75,75.03,98.32,83.95,97.36,92.26,98.93,81.9,89.84
17,Female,TVL,IA-AS,89.5,91.09,96.01,76.01,83.14,86.96,96.59,96.81,86.88,90.18,77.59,93.07,88.87,75.75,77.05,78.91,91.53,89.27,85.8,79.14,76.33,86.61,88.36,91.57,82.5,85.31,85.06,77.25,84.49,88.83,75.26,90.41,87.68,81.12,85.45,87.18
18,Male,TVL,ICT,82.57,75.56,86.6,88.17,81.8,85,80.92,88.63,87.81,86.26,94.79,87.81,92.44,94.76,79.88,83.71,78.64,85.46,86.02,83.71,77.6,86.5,97.64,96.64,84.17,94.48,88.5,91.5,96,96.03,96.57,96.1,89.76,93.33,91.42,89.65
18,Male,Academic,ABM,97.67,75.33,79,81.16,94.83,82.98,75.01,91.4,89.08,78.87,86.69,86.1,99.15,88.78,96.5,86.17,78.82,86.52,77.05,97.25,96.37,86.26,86.01,75.52,96.8,99.69,87.05,97.29,95.52,84.34,86.67,91.82,90.93,86.75,82.97,90.03
16,Male,TVL,IA-CES/EPAS,99.95,86.14,95.62,76.67,80.5,94.81,96.32,78.78,88.98,90.9,79.24,93.5,99.19,81.89,82.12,79.78,78.03,86.11,99.28,94.18,78.31,95.9,87.18,76.62,77.06,92.01,90.47,90.23,94.64,79.06,97.64,78.7,82.12,91.69,92.34,91.44
17,Female,TVL,HE,87.28,89.21,98.3,81.57,82.23,99.31,96.19,98.1,88.05,80.18,92.02,87.61,89.98,96.44,76.19,92.48,82.87,86.96,89.12,91.89,92.8,92.89,90.36,96.46,76.26,75.62,87.58,92.27,90.01,79.16,95.81,91.62,83.92,97.64,78.63,87.45
16,Female,Academic,ABM,87.35,97.11,84.24,90.4,86.48,95.22,89.66,85.38,93.79,99.52,97.92,92.31,88.51,89.31,97.31,81.63,81.34,84.94,98.03,95.91,82.89,83.1,99.76,98.61,75.68,85.06,87.57,80.85,93.4,86.43,81.44,94.14,78.26,83.11,94,91.69
15,Female,TVL,HE,78.76,90.37,88.11,97.99,83.72,79.46,98.42,87.79,90.07,83.68,85.71,79.99,95.97,94.26,84.69,91.72,89.48,88.02,91.32,99.25,75.98,92.84,82.6,88.53,94.27,86.53,88.61,95.85,82.97,99.69,91.96,92.01,97.54,89.09,84.57,90.2
18,Female,Academic,ABM,93.92,75.54,97.02,79.08,96.61,88.73,98.94,90.82,89.16,77.38,77.17,77.37,79.47,97.81,88.84,98.12,78.55,89.29,81.39,89.64,81.24,78.58,82.44,77.21,78.51,87.33,84.19,99.7,90.52,84.87,99.27,87.6,93.51,85.2,75.71,84.68
18,Female,Academic,STEM,91.59,93.9,92.94,97.07,89.84,90.69,98.51,96.53,85.81,92.32,81.02,75.74,85.16,92.58,97.84,95.51,98.39,87.47,76.07,83.37,78.93,82.95,91.41,76.06,91.87,93.73,92.77,88.1,75.12,78,91,91.45,82.34,76.71,84.38,88.26
18,Male,TVL,ICT,76.68,77.06,87.32,88.84,82.51,80.78,79.8,78.68,86.53,82.04,94.96,81.56,93.77,84.24,85.08,85.18,77.76,88.42,81.45,92.93,99.11,84.8,95.49,95.95,91.65,95.52,92.32,84.84,79.82,75.5,98.71,82.29,99.26,80.38,80.3,89.83
15,Female,Academic,STEM,84.26,87.18,97.35,89.91,86.38,92.01,79.95,82.52,86.2,83.63,86.94,87.53,75.8,81.91,78.27,75.52,79.64,86.8,99.34,79.4,87.33,83.3,87.43,75.19,98.51,94.37,87.45,97.74,92.37,90.93,84.05,91.19,81.41,86.35,92.06,86.68
15,Male,TVL,IA-CES/EPAS,99.63,98.82,89.8,81.9,95.68,79.89,87.51,98.84,85.68,83.54,99.44,87.47,93.61,99.68,86.63,91.19,95.19,91.43,80.71,80.02,91.06,97.02,78.29,99.75,78,92.34,88.48,97.17,81.49,79.73,86.51,82.17,89.77,96.93,75.56,87.19
15,Male,TVL,IA-CES/EPAS,94.54,77.93,98.26,75.19,96.89,94.18,88.68,93.17,88.17,78.4,76.08,91.56,93.43,81.44,98.51,83.98,98.32,82.42,97.33,85.62,91.82,92.26,91.43,78.09,78.84,86.56,82.31,80.48,75.14,90.79,98.33,94.13,94.28,86.98,81.99,89.19
18,Male,TVL,ICT,92.02,88.36,83.22,87.68,91.21,85.05,84.2,94.28,85.56,78.89,96.86,97.5,93.69,86.53,75.83,92.02,84.31,87,96.15,88.95,81.23,99.97,94.71,77.47,81.2,90.42,85.5,78.84,97.08,83.46,95.34,87.08,92.83,86.39,90.92,88.82
16,Male,Academic,ABM,86,86.3,75.11,98.7,92.03,90.29,76.31,93.32,88.61,80.4,78.57,78.81,84.77,95.5,96.45,96.54,99.08,91.15,79.26,99.23,98.43,89.32,77.35,96.48,92.49,84.18,85.41,85.91,79.63,95.68,95.85,79.7,84.22,89.97,92.13,90.49
15,Female,Academic,HUMSS,99.15,75.54,88.78,77.04,89.83,75.42,87.45,84.98,82.58,98.27,80.18,85.47,99.13,89.6,88.57,92.87,93.13,88.1,87.04,81.56,76.97,88.04,94.37,81.39,75.07,77.67,85.66,77.05,86.02,98.04,86.13,83.45,82.64,92.54,97.09,90.24
18,Female,Academic,HUMSS,90.95,88.97,91.04,95.65,78.88,87.05,79.96,85.95,85.49,91.79,85.93,98.58,99.28,85.62,82.57,77.64,97.27,86.04,88.01,95.36,83.36,98.03,81.6,86.69,99.03,78.22,90.22,76.41,89.6,90.43,83.41,96.37,79.22,94.06,91.46,83.78
16,Male,TVL,IA-AS,97.53,75.17,80.3,86.87,85.16,95.58,94.98,77.79,86.45,89.35,97.2,98.3,88.82,85.97,96.03,81.56,97.09,87.19,81.81,92.92,84.57,97.35,89.53,91.97,77.85,95.73,86.6,86.96,98.98,97.46,95.33,81.64,85.46,90.29,83.14,87.68
18,Female,TVL,HE,81.59,81.28,75.66,96.25,80.2,85.44,80.31,89.06,89.48,97.89,92.61,79.08,92.48,94.6,99.04,80,97.09,84.26,99.35,95.98,92.55,87.89,78.64,84.84,83.5,76.5,89.13,99.08,84.87,88.65,96.28,94.17,85.29,87.14,83.03,86.44
17,Male,Academic,ABM,92.75,85.59,78.53,98.43,89.83,85.17,88.87,85.85,91.22,83.95,98.95,94.56,87.52,79.27,96.62,77.12,98.54,91.66,87.05,84.75,88.01,75.22,97.33,79.41,92.76,93.78,84.55,91.83,98.76,82.72,90.2,94.5,95.33,84.56,83.14,83.15
17,Male,TVL,ICT,82.26,95.39,94.42,83.79,92.12,87.8,90.67,82.61,86.79,87.77,96.08,96.26,88.15,84.71,90.37,90.47,87.24,91.18,83.59,98.08,98.93,75.44,86.09,91.72,91.1,80.32,88.44,80.85,86.76,77.76,76.73,79.8,83.38,99.39,84.19,88.66
16,Male,Academic,STEM,80.82,79.91,93.88,79.78,87.22,79.13,76.66,94.22,82.93,78.39,80.55,93.41,93.53,82.98,97.15,84.62,87.96,83.67,96.61,77.31,77.69,94.02,86.3,91.42,80.24,93.83,85.02,84.58,85.42,96.99,77.72,96.7,88.18,84.84,85.93,88.28
17,Female,Academic,ABM,99.52,95.69,83.8,84.94,88.57,99.96,82.46,90.71,85.9,81.55,86.81,90.62,92.06,92.74,76.09,84.77,79.18,89.57,75.6,94.9,81.75,93.94,98.32,88.19,78.42,87.72,86.91,91.35,84.2,80.91,96.58,85.5,76.65,80.28,90.68,84.36
15,Male,Academic,HUMSS,98.44,81.78,95.77,76.58,77.19,95.77,85.37,82.66,88.8,77.8,89.69,98.33,75.16,91.9,96.27,95,88.18,92.39,83.38,87.48,89.69,88.22,87.23,79.03,94,75.55,88.46,78.62,90.23,97.54,86.54,88.06,87.79,77.9,92,90.87
15,Male,TVL,ICT,82.15,81.42,79.06,76.08,92.62,90.92,84.13,78.69,85.51,81.23,86.36,96.89,99.8,96.4,84.47,92.26,79.02,89.47,97.33,93.82,88.28,85.28,86.14,85.99,91.83,89.75,86.83,90.55,91.3,83.12,90.6,94.19,77.84,91.47,89.7,84.24
17,Male,Academic,STEM,83.58,97.83,79.98,82.57,93.64,80.51,83.19,96.19,89.6,77.37,82.34,79.77,81.64,87.77,91.11,77.56,75.23,94.65,81.05,87.93,88.14,85.39,76.27,79.57,98.23,75.79,89.13,79.83,82.87,90.84,79.8,94.11,95.78,75.39,86.75,86.75
15,Female,TVL,HE,79.53,82.23,84.73,80.66,89.97,95.63,98.91,89.27,86.71,99.79,76.38,87.87,85.31,97.24,90.69,83.26,85.23,90.33,83.27,80.45,89.51,99.72,99.81,77.76,96.85,83.76,83.19,85.09,82.07,93.09,85.35,91.39,85.58,93.1,78.52,85.68
17,Female,TVL,HE,79.63,81.28,75.47,97.77,78.75,95.43,80.91,85.27,88.71,75.03,85.33,91.4,80.64,80.18,81.64,92.18,93.55,88.23,81.24,88.67,83.88,85.92,86.25,92.88,87.48,97.68,88.85,84.27,79.98,79.95,82.29,96.01,95.49,93.72,89.45,86.97
15,Female,TVL,IA-AS,96.45,80.24,97.54,79.51,75.27,96.71,95.74,87.34,86.68,90.02,77.05,77.27,76.15,84.59,93.18,83.3,84.61,87.99,91.15,97.99,90.94,88.33,83.82,82.71,75.68,90.8,89.39,94.19,78.49,95.29,90.28,76.73,81.69,90.43,90.07,90.24
16,Male,TVL,ICT,93.89,77.76,95.03,98.32,93.32,92.21,97.65,91.55,88.07,75.12,91.11,82.74,84.5,80.67,99.43,96.94,95.08,90.79,84.47,96.81,84.15,97.68,87.87,86.45,98.85,90.07,87.17,87.18,79.37,94.93,80.71,76.91,84.55,87.09,90.4,85.54
17,Female,TVL,IA-AS,98.9,89.8,96.68,89.52,76.72,79.07,86.33,97.28,83.54,85.86,76.26,80.93,87.53,81.35,94.31,79.51,88.45,84.34,95.91,87.33,85.27,95.92,85.67,86.48,81.42,86.25,90,93.07,91,89.47,82.76,90.56,80.77,98.68,77.15,88.33
16,Male,TVL,HE,90.24,97.5,89.06,75.78,80.26,91.36,98.77,82.82,88.18,77.61,77.82,76.43,89.38,96.22,95.03,92.77,85.54,85.7,94.84,82.98,76.88,93.45,86.39,76.41,75.22,93.36,88.01,84.42,95.97,88.66,88.13,95.17,76.04,83.02,87.12,88.32
18,Male,TVL,IA-CES/EPAS,99.34,98.41,79.63,76.12,91,95.84,99.72,81.51,87.42,86.6,82.38,82.9,99.61,93.83,80.1,99.59,84.9,86.2,96.57,99.69,90.59,77.44,92.94,99.51,77.76,85.05,87.43,76.8,89.28,90.33,82.2,95.18,98.04,90.05,81.17,86.24
17,Male,Academic,STEM,87.04,83.62,84.47,82.92,95.49,75.85,89.2,84.51,86.56,93.24,76.58,95.56,83.28,98.12,88.74,78.9,89.85,86.41,88.17,76.8,80.39,84.32,91.48,93.26,84.39,80.82,88.48,85.04,92,75.32,87.33,96.19,90.9,84.15,79.34,85.63
16,Male,TVL,IA-AS,86.25,85.33,89.71,94.7,89.44,81.46,90.01,87.64,90.61,99.41,87.02,90.14,99.22,89.39,91.14,82.3,80.25,85.5,75.68,79.31,98.09,91.41,77.22,81.49,83.47,93.9,88.62,77.4,80.66,93.23,98.24,77.06,82.6,86.34,75.45,91.79
16,Male,Academic,HUMSS,87.35,78.58,99.04,96.07,88.83,94.8,75.27,93.24,90.95,94.21,99.1,79.33,91.93,79.07,94.85,88.5,96.25,89.26,76.32,82.34,82.77,85.42,97.36,86.72,94.87,93.2,89.27,78.02,79.64,75.53,81.01,84.73,95.21,75.02,93.1,84.88
17,Male,Academic,ABM,80.18,92.42,81.49,84.99,85.29,75.78,76.48,91.08,84.82,96.19,83.96,85.95,78.46,88.95,99.63,79.86,78.39,89.8,91.17,78.8,86.62,82.94,89.86,93.46,92.44,94.65,89.42,85.74,99.19,91.42,80,96.12,91.23,80.82,87.25,89.16
17,Male,Academic,STEM,76.53,76.21,78.72,90.3,98.18,89.61,82.79,92.07,91.68,91.47,87.75,93.41,92.57,99.3,96.19,84.84,79.73,86.69,79.46,89.89,86.13,83.86,89.36,78.38,92.28,82.04,86.31,91.31,90.32,87.87,79.93,77.91,81.6,76.54,92.82,85.43
16,Male,Academic,ABM,91.41,82.84,98.88,79.52,86.64,92.98,75.04,79.43,84.86,77.3,80.86,96.89,79.58,83.52,81.11,91.63,94.1,88.03,97.12,96.66,97.6,94.33,83.94,82.73,93.4,96.19,94.07,99.12,90.13,84.07,94.76,76.53,87.82,90.12,98.85,85.97
17,Female,Academic,ABM,85.3,85.45,88.13,81.96,94.93,98.09,88.35,84.76,87.73,93.63,76.46,85.18,89.96,94.37,76.71,83.21,80.76,86.06,77.76,99.16,89.03,99.97,93.63,88.41,84.03,88.51,90.88,99.33,91.14,89.11,99.51,84.84,81.01,75.87,84.61,87.48
17,Male,Academic,STEM,81.75,86.88,84.7,85.67,75.52,76.03,91.04,75.31,89.12,86.22,90.19,93.03,79.98,96.27,93.53,76.65,98.27,87.89,89.76,94.14,76.85,79.55,88.52,75.52,84.93,90.17,84.03,84.71,91.16,79.14,81.63,91.02,82.56,93.91,90.81,82.5
15,Female,TVL,IA-CES/EPAS,81.65,99.9,96.71,91.1,83.21,78.23,85.3,86.66,88.96,96.07,86.93,82.67,93.6,86.01,79.11,91.2,87.68,90.56,99.45,79.53,85.62,93.34,97.28,87.8,77.91,79.18,87.18,96.59,98.4,96.21,80.65,79.38,97.63,85.27,84.35,87.76
18,Female,TVL,ICT,94.36,83.54,82.83,90.31,78.73,81.7,87.73,97.34,86.42,78.64,98.38,78.13,79.57,97.36,79.26,99.44,81.86,86.85,96.38,96.66,83.67,81.04,91.16,76.31,83.11,82.94,87.52,77.47,77.6,99.58,95.87,75.79,96.19,77.63,81.46,85.39
16,Male,Academic,STEM,77.13,82.26,93.99,82.3,89.05,98.54,80.55,91.34,88,75.93,92.51,98.89,94.96,75.52,81.9,94.5,97.32,85.88,76.08,80.85,92.21,92.05,96.48,83.36,79,91.46,92.68,85.79,94.66,95.7,78.97,84.95,83.26,77.24,76.66,84.57
17,Female,Academic,ABM,79.12,78.87,76.86,81.82,82.27,75.54,95.71,87.81,87.9,75.66,79.84,85.63,76.33,89.64,86.65,96.18,90.11,82.63,77.32,81.62,79.58,76.79,81.01,75.51,86.89,84.43,92.23,82.36,91.29,79.04,87.61,97.24,95.29,76.13,92.74,89.48
17,Male,TVL,ICT,91.56,90.4,76.97,76.29,88.84,75.56,87.99,79.17,82.28,82.18,97.16,97.56,78.25,80.03,86.58,76.28,92.31,83.55,96.8,91.86,90.71,79.4,98.29,81.96,81.02,88.92,87.73,85.77,85.52,92.09,80.74,86.37,85.84,83.39,85.08,92.72
16,Female,Academic,HUMSS,82.91,85.97,92.58,94.86,91.65,92.76,88.01,82.48,84.7,99.45,97.29,83.89,91.45,99.01,84.29,90.92,87.45,88.12,89.88,93.11,76.43,81.52,82.83,75.15,82.36,79.65,94.36,90.55,91.58,89.73,83.08,89.26,95.37,89.74,77.86,86.69
15,Male,Academic,STEM,87.66,94.28,93.99,81.34,84.26,93.54,86.23,81.15,87.19,85.26,87.59,99.82,78.2,82.64,77.21,80.5,95.85,84.01,77.51,87.45,88.89,96.43,98.37,88.37,85.9,81.17,87.91,85.72,80.57,98.68,94.5,94.3,92.57,86.23,94.35,85.81
17,Male,Academic,HUMSS,75.04,90.25,81.03,79.32,75.34,78.79,84.01,80.88,83.02,86.05,85.83,82.24,94.26,88.76,80.56,77.33,97.72,85.96,76.86,79.02,93.62,96.17,86.52,82.36,90.76,91.29,88.84,86.78,86.94,82.77,96.23,84.14,94.59,99.07,93.74,88.9
18,Female,Academic,HUMSS,79.17,76.88,79.04,89.16,95.54,98.3,99.61,94.43,85.08,90.31,91.96,81.63,80.35,99.94,98.92,90.44,91.88,88.61,86.23,77.32,94,78.53,80.56,85.11,85.08,86.19,85.76,93.05,94.73,86.85,88.03,84.87,91.08,86.97,99.88,87.78
16,Male,TVL,ICT,89.49,88.12,87.12,83.42,98.88,90.63,83.29,89.59,89.49,94.21,84.11,99.01,80.97,93.74,76.88,98.52,99.76,91.12,81.33,92.09,78.26,75.05,93.37,79.69,89.35,75.96,89.79,98.82,89.98,85.97,86.64,76.42,86.6,85.59,82.17,91.25
18,Female,Academic,STEM,85.27,82.14,95.8,79.04,97.21,75.09,91.31,81.39,85.7,99.22,84.12,80.46,78.89,88.14,88.77,77.09,92.13,90.65,96.01,76.86,86.83,85.22,89.83,77.1,82.12,95.33,83.75,87.41,84.96,79.2,76.19,96.99,100,77.19,98.43,85.51
15,Female,TVL,IA-CES/EPAS,89.42,86.82,92.86,94.96,92.52,89.14,83.95,84.65,86.23,80.86,77.03,96.77,86.41,89.62,88.6,93.85,97.52,87.45,81.9,90.07,83.66,98.49,90.1,86.07,84.26,89.96,89.16,90.16,81.63,82.87,91.27,82.61,96.39,81.07,90.46,86.52
15,Female,Academic,HUMSS,90.5,95.04,77.93,90.38,92.94,78.78,75.79,81.68,86.7,88.07,76.82,88.46,95.82,87.86,86.5,88.36,93.43,87.96,88.44,96.87,93.97,92.2,80.67,81.94,77.63,93.04,92.65,89.13,80.85,94.9,89.51,85.59,76.44,89.24,83.35,89.64
17,Male,TVL,HE,81.87,94.78,82.17,82.65,96.7,96.24,75.16,98.5,85.83,75.44,85.7,87.2,76.45,75.84,93.75,94.19,95.38,85.29,76.9,77.01,97.54,80.46,92.54,76.82,89.49,96.9,86.61,81.99,82.18,94.84,82.94,87.8,75.86,90.14,77.23,79.86
15,Female,Academic,ABM,95.62,93.41,94.06,86.57,92.96,81.71,84.54,87.83,90.14,99.76,95.16,94.71,89.38,86.85,82.88,85.29,91.25,89.03,79.02,94.58,82.93,92.04,77.24,78.59,86.5,76.3,86.79,82.69,88.33,81.39,78.24,81.65,99.08,93.03,77.32,89.29
16,Female,Academic,HUMSS,91.84,79.69,87.78,84.42,81.31,99.91,98.37,97.01,84.45,83.75,90.74,90.03,79.68,93.55,80.5,87.4,90.51,88.41,89.22,80.64,87.6,95.5,85.88,99.76,79.67,77.51,90.26,76.64,79.98,88.82,75.83,96.6,94.88,92.53,87.1,91.79
17,Female,TVL,IA-CES/EPAS,87.73,77.15,93.46,96.63,79.36,79.35,88.09,85.24,87.39,89.08,81.32,83.31,92.88,93.86,96.41,94.33,96.76,86.36,90.85,98.03,79.62,76.78,75.19,83.89,79.15,80.48,79.79,84.62,88.83,91.29,82.74,95.98,82,92.44,81.17,85.14
16,Male,TVL,HE,94.2,92.94,76.22,87.57,83.25,88.41,77.91,79.53,88.08,84.28,79.69,95.91,83.14,76.21,82.75,91.54,78.85,90.43,81.08,96.14,90.07,84.7,99.49,98.26,84.77,77,89.6,89.18,79.03,89.44,81.49,79.79,96.05,99.74,91.83,89.73
17,Male,TVL,HE,90.42,86.1,89.65,96.45,77.18,78.86,87.74,99.74,87.67,94.26,81.34,81.06,82.2,91.05,75.67,78.03,96.58,88.28,94.7,87.33,87.03,78.06,85.69,78.16,87.35,86.2,91.7,80.39,83.6,90.27,97.66,80.06,97.7,81.52,92.88,88.28
18,Male,Academic,HUMSS,97.89,84.46,77.52,87.34,78.31,82.4,87.15,82.14,84.35,87.68,79.92,77.02,99.01,99.56,88.15,99.63,79.66,88.48,99.62,86.55,96.47,90.89,79.18,95.25,91.42,97.73,91.69,93.22,98.33,95.89,98.71,84.4,99.99,87.3,82.51,85.14
18,Male,Academic,HUMSS,96.92,85.66,91.83,89.97,88.27,90.44,85.38,79.18,87.03,87.74,89.11,79.24,88.93,82.61,83.08,76.17,76.7,84.29,93.78,98.78,83.58,82.13,81.78,81.08,85.78,92.74,87.59,98.75,79.7,77.42,93.73,88.47,90.96,94.24,93.03,86.71
15,Female,TVL,IA-AS,82.64,76.87,76.68,90.45,89.61,88.96,81.36,81.8,84.97,75.68,84.89,94.72,86.5,95.63,78.87,91.5,89.35,89.53,82.87,80.26,96.04,97.36,96.72,82.7,79.21,91.49,86.38,88.41,86.78,95.11,75.47,87.1,89.26,84.92,95.35,83.05
18,Female,Academic,STEM,83.05,95.74,94.84,89.39,83.27,92.85,96.39,98.52,89.21,75.04,79.63,84.53,95.55,94.6,94.94,84.19,79.94,88.6,77.4,85.84,80.79,98.51,98.83,77.06,76.84,79,86.42,89.73,93.24,75.5,97.69,87.03,90.4,89.47,80.79,90.14
16,Male,Academic,STEM,80.14,95.48,77.66,79.9,96.84,83.82,94.48,76.76,83.99,99.37,88.89,80.19,75.05,92,84.62,80.53,82.63,88.47,81.52,91.02,78.17,77.62,91.94,82.1,88.55,88.62,85.94,84.05,90.65,99.15,85.91,81.06,81.48,98.97,75.85,85.59
17,Female,Academic,ABM,79.75,82.33,84.48,87.23,76.33,98.76,91.58,99.97,86.78,92.67,76.67,78.43,99.88,95.38,94.99,91.58,75.17,88.01,94.97,75.24,97.54,96.25,99.7,93.09,79.81,98.6,84.96,93.46,77.72,82.64,94.15,81.11,76.59,92.17,93.48,91.46
16,Female,TVL,ICT,79.01,79.81,79.67,97.86,85.98,81.39,90.31,94.15,89.34,98.15,91.19,78.35,76.24,88.67,99.42,87.35,83.94,85.67,76.56,81.41,84.59,85.19,79.9,81.4,89.77,89.32,87.62,79,92.68,79.44,95.08,94.02,78.72,85.72,88.15,89.94
18,Female,TVL,ICT,78.57,97.06,76.81,88.78,95.53,77.1,82.34,92.18,90.58,83.51,85.36,99.32,94.67,75.54,90.16,87.1,75.7,90.6,99.9,93.33,96.19,82.15,92.73,92.86,87.41,78.55,88.01,90.79,96.21,88.73,89.07,91.5,94.82,97.59,82.09,88.87
18,Male,Academic,STEM,76.48,84.42,91.5,75.57,81.3,95.12,84.94,94.37,87.93,89.77,79.73,81.44,93.66,81.48,75.88,96.25,91.57,92.01,87.02,86.11,91.18,96.04,87.47,99.48,91.75,85.34,84.69,93.56,79.02,82.42,75.08,81.25,94.26,88.2,76.57,85.04
17,Male,TVL,HE,82.55,90.63,76.27,91.54,85.96,76.83,87.78,99.27,87.97,99.6,81.96,86.21,92.72,91.3,96.18,94.57,76.82,89.37,99.81,98.43,87.98,88.89,80.07,75.57,98.3,76.59,88.99,78.88,76.97,88.06,79.61,89.87,96.81,97.96,88.07,84.21
18,Female,Academic,HUMSS,95.39,79.2,92.76,97.74,89.85,84.09,99.43,79.31,85.89,83.6,83.79,92.6,97.9,99.09,78.27,98.6,76.19,82.3,85.75,90.59,83.53,85.44,92.19,80.72,83.44,97.18,88.09,76.86,92.74,97.28,96.96,96.64,81.28,76.02,77.54,87.67
16,Male,TVL,ICT,78.71,77.42,84.63,89.66,89.61,95.92,98.27,88.74,89.52,94.23,84.62,99.72,96.66,89.37,99.51,76.53,80.69,87.39,91.9,76.94,87.68,84.58,83.28,86.47,82.36,88.86,86.34,79.42,77.32,84.82,79.34,83.44,79.17,93.76,82.48,89.68
