age,gender,track,g7_filipino,g7_english,g7_math,g7_science,g7_ap,g7_tle,g7_mapeh,g7_esp,g8_filipino,g8_english,g8_math,g8_science,g8_ap,g8_tle,g8_mapeh,g8_esp,g9_filipino,g9_english,g9_math,g9_science,g9_ap,g9_tle,g9_mapeh,g9_esp,g10_filipino,g10_english,g10_math,g10_science,g10_ap,g10_tle,g10_mapeh,g10_esp
17,Male,Academic,92.75,85.59,78.53,98.43,89.83,85.17,88.87,85.85,83.95,98.95,94.56,87.52,79.27,96.62,77.12,98.54,87.05,84.75,88.01,75.22,97.33,79.41,92.76,93.78,91.83,98.76,82.72,90.2,94.5,95.33,84.56,83.14
17,Male,TVL,82.26,95.39,94.42,83.79,92.12,87.8,90.67,82.61,87.77,96.08,96.26,88.15,84.71,90.37,90.47,87.24,83.59,98.08,98.93,75.44,86.09,91.72,91.1,80.32,80.85,86.76,77.76,76.73,79.8,83.38,99.39,84.19
16,Male,Academic,80.82,79.91,93.88,79.78,87.22,79.13,76.66,94.22,78.39,80.55,93.41,93.53,82.98,97.15,84.62,87.96,96.61,77.31,77.69,94.02,86.3,91.42,80.24,93.83,84.58,85.42,96.99,77.72,96.7,88.18,84.84,85.93
17,Female,Academic,99.52,95.69,83.8,84.94,88.57,99.96,82.46,90.71,81.55,86.81,90.62,92.06,92.74,76.09,84.77,79.18,75.6,94.9,81.75,93.94,98.32,88.19,78.42,87.72,91.35,84.2,80.91,96.58,85.5,76.65,80.28,90.68
15,Male,Academic,98.44,81.78,95.77,76.58,77.19,95.77,85.37,82.66,77.8,89.69,98.33,75.16,91.9,96.27,95,88.18,83.38,87.48,89.69,88.22,87.23,79.03,94,75.55,78.62,90.23,97.54,86.54,88.06,87.79,77.9,92
15,Male,TVL,82.15,81.42,79.06,76.08,92.62,90.92,84.13,78.69,81.23,86.36,96.89,99.8,96.4,84.47,92.26,79.02,97.33,93.82,88.28,85.28,86.14,85.99,91.83,89.75,90.55,91.3,83.12,90.6,94.19,77.84,91.47,89.7
17,Male,Academic,83.58,97.83,79.98,82.57,93.64,80.51,83.19,96.19,77.37,82.34,79.77,81.64,87.77,91.11,77.56,75.23,81.05,87.93,88.14,85.39,76.27,79.57,98.23,75.79,79.83,82.87,90.84,79.8,94.11,95.78,75.39,86.75
15,Female,TVL,79.53,82.23,84.73,80.66,89.97,95.63,98.91,89.27,99.79,76.38,87.87,85.31,97.24,90.69,83.26,85.23,83.27,80.45,89.51,99.72,99.81,77.76,96.85,83.76,85.09,82.07,93.09,85.35,91.39,85.58,93.1,78.52
17,Female,TVL,79.63,81.28,75.47,97.77,78.75,95.43,80.91,85.27,75.03,85.33,91.4,80.64,80.18,81.64,92.18,93.55,81.24,88.67,83.88,85.92,86.25,92.88,87.48,97.68,84.27,79.98,79.95,82.29,96.01,95.49,93.72,89.45
15,Female,TVL,96.45,80.24,97.54,79.51,75.27,96.71,95.74,87.34,90.02,77.05,77.27,76.15,84.59,93.18,83.3,84.61,91.15,97.99,90.94,88.33,83.82,82.71,75.68,90.8,94.19,78.49,95.29,90.28,76.73,81.69,90.43,90.07
16,Male,TVL,93.89,77.76,95.03,98.32,93.32,92.21,97.65,91.55,75.12,91.11,82.74,84.5,80.67,99.43,96.94,95.08,84.47,96.81,84.15,97.68,87.87,86.45,98.85,90.07,87.18,79.37,94.93,80.71,76.91,84.55,87.09,90.4
17,Female,TVL,98.9,89.8,96.68,89.52,76.72,79.07,86.33,97.28,85.86,76.26,80.93,87.53,81.35,94.31,79.51,88.45,95.91,87.33,85.27,95.92,85.67,86.48,81.42,86.25,93.07,91,89.47,82.76,90.56,80.77,98.68,77.15
16,Male,TVL,90.24,97.5,89.06,75.78,80.26,91.36,98.77,82.82,77.61,77.82,76.43,89.38,96.22,95.03,92.77,85.54,94.84,82.98,76.88,93.45,86.39,76.41,75.22,93.36,84.42,95.97,88.66,88.13,95.17,76.04,83.02,87.12
18,Male,TVL,99.34,98.41,79.63,76.12,91,95.84,99.72,81.51,86.6,82.38,82.9,99.61,93.83,80.1,99.59,84.9,96.57,99.69,90.59,77.44,92.94,99.51,77.76,85.05,76.8,89.28,90.33,82.2,95.18,98.04,90.05,81.17
17,Male,Academic,87.04,83.62,84.47,82.92,95.49,75.85,89.2,84.51,93.24,76.58,95.56,83.28,98.12,88.74,78.9,89.85,88.17,76.8,80.39,84.32,91.48,93.26,84.39,80.82,85.04,92,75.32,87.33,96.19,90.9,84.15,79.34
16,Male,TVL,86.25,85.33,89.71,94.7,89.44,81.46,90.01,87.64,99.41,87.02,90.14,99.22,89.39,91.14,82.3,80.25,75.68,79.31,98.09,91.41,77.22,81.49,83.47,93.9,77.4,80.66,93.23,98.24,77.06,82.6,86.34,75.45
16,Male,Academic,87.35,78.58,99.04,96.07,88.83,94.8,75.27,93.24,94.21,99.1,79.33,91.93,79.07,94.85,88.5,96.25,76.32,82.34,82.77,85.42,97.36,86.72,94.87,93.2,78.02,79.64,75.53,81.01,84.73,95.21,75.02,93.1
17,Male,Academic,80.18,92.42,81.49,84.99,85.29,75.78,76.48,91.08,96.19,83.96,85.95,78.46,88.95,99.63,79.86,78.39,91.17,78.8,86.62,82.94,89.86,93.46,92.44,94.65,85.74,99.19,91.42,80,96.12,91.23,80.82,87.25
17,Male,Academic,76.53,76.21,78.72,90.3,98.18,89.61,82.79,92.07,91.47,87.75,93.41,92.57,99.3,96.19,84.84,79.73,79.46,89.89,86.13,83.86,89.36,78.38,92.28,82.04,91.31,90.32,87.87,79.93,77.91,81.6,76.54,92.82
16,Male,Academic,91.41,82.84,98.88,79.52,86.64,92.98,75.04,79.43,77.3,80.86,96.89,79.58,83.52,81.11,91.63,94.1,97.12,96.66,97.6,94.33,83.94,82.73,93.4,96.19,99.12,90.13,84.07,94.76,76.53,87.82,90.12,98.85
17,Female,Academic,85.3,85.45,88.13,81.96,94.93,98.09,88.35,84.76,93.63,76.46,85.18,89.96,94.37,76.71,83.21,80.76,77.76,99.16,89.03,99.97,93.63,88.41,84.03,88.51,99.33,91.14,89.11,99.51,84.84,81.01,75.87,84.61
17,Male,Academic,81.75,86.88,84.7,85.67,75.52,76.03,91.04,75.31,86.22,90.19,93.03,79.98,96.27,93.53,76.65,98.27,89.76,94.14,76.85,79.55,88.52,75.52,84.93,90.17,84.71,91.16,79.14,81.63,91.02,82.56,93.91,90.81
15,Female,TVL,81.65,99.9,96.71,91.1,83.21,78.23,85.3,86.66,96.07,86.93,82.67,93.6,86.01,79.11,91.2,87.68,99.45,79.53,85.62,93.34,97.28,87.8,77.91,79.18,96.59,98.4,96.21,80.65,79.38,97.63,85.27,84.35
18,Female,TVL,94.36,83.54,82.83,90.31,78.73,81.7,87.73,97.34,78.64,98.38,78.13,79.57,97.36,79.26,99.44,81.86,96.38,96.66,83.67,81.04,91.16,76.31,83.11,82.94,77.47,77.6,99.58,95.87,75.79,96.19,77.63,81.46
16,Male,Academic,77.13,82.26,93.99,82.3,89.05,98.54,80.55,91.34,75.93,92.51,98.89,94.96,75.52,81.9,94.5,97.32,76.08,80.85,92.21,92.05,96.48,83.36,79,91.46,85.79,94.66,95.7,78.97,84.95,83.26,77.24,76.66
17,Female,Academic,79.12,78.87,76.86,81.82,82.27,75.54,95.71,87.81,75.66,79.84,85.63,76.33,89.64,86.65,96.18,90.11,77.32,81.62,79.58,76.79,81.01,75.51,86.89,84.43,82.36,91.29,79.04,87.61,97.24,95.29,76.13,92.74
17,Male,TVL,91.56,90.4,76.97,76.29,88.84,75.56,87.99,79.17,82.18,97.16,97.56,78.25,80.03,86.58,76.28,92.31,96.8,91.86,90.71,79.4,98.29,81.96,81.02,88.92,85.77,85.52,92.09,80.74,86.37,85.84,83.39,85.08
16,Female,Academic,82.91,85.97,92.58,94.86,91.65,92.76,88.01,82.48,99.45,97.29,83.89,91.45,99.01,84.29,90.92,87.45,89.88,93.11,76.43,81.52,82.83,75.15,82.36,79.65,90.55,91.58,89.73,83.08,89.26,95.37,89.74,77.86
15,Male,Academic,87.66,94.28,93.99,81.34,84.26,93.54,86.23,81.15,85.26,87.59,99.82,78.2,82.64,77.21,80.5,95.85,77.51,87.45,88.89,96.43,98.37,88.37,85.9,81.17,85.72,80.57,98.68,94.5,94.3,92.57,86.23,94.35
17,Male,Academic,75.04,90.25,81.03,79.32,75.34,78.79,84.01,80.88,86.05,85.83,82.24,94.26,88.76,80.56,77.33,97.72,76.86,79.02,93.62,96.17,86.52,82.36,90.76,91.29,86.78,86.94,82.77,96.23,84.14,94.59,99.07,93.74
18,Female,Academic,79.17,76.88,79.04,89.16,95.54,98.3,99.61,94.43,90.31,91.96,81.63,80.35,99.94,98.92,90.44,91.88,86.23,77.32,94,78.53,80.56,85.11,85.08,86.19,93.05,94.73,86.85,88.03,84.87,91.08,86.97,99.88
16,Male,TVL,89.49,88.12,87.12,83.42,98.88,90.63,83.29,89.59,94.21,84.11,99.01,80.97,93.74,76.88,98.52,99.76,81.33,92.09,78.26,75.05,93.37,79.69,89.35,75.96,98.82,89.98,85.97,86.64,76.42,86.6,85.59,82.17
18,Female,Academic,85.27,82.14,95.8,79.04,97.21,75.09,91.31,81.39,99.22,84.12,80.46,78.89,88.14,88.77,77.09,92.13,96.01,76.86,86.83,85.22,89.83,77.1,82.12,95.33,87.41,84.96,79.2,76.19,96.99,100,77.19,98.43
15,Female,TVL,89.42,86.82,92.86,94.96,92.52,89.14,83.95,84.65,80.86,77.03,96.77,86.41,89.62,88.6,93.85,97.52,81.9,90.07,83.66,98.49,90.1,86.07,84.26,89.96,90.16,81.63,82.87,91.27,82.61,96.39,81.07,90.46
15,Female,Academic,90.5,95.04,77.93,90.38,92.94,78.78,75.79,81.68,88.07,76.82,88.46,95.82,87.86,86.5,88.36,93.43,88.44,96.87,93.97,92.2,80.67,81.94,77.63,93.04,89.13,80.85,94.9,89.51,85.59,76.44,89.24,83.35
17,Male,TVL,81.87,94.78,82.17,82.65,96.7,96.24,75.16,98.5,75.44,85.7,87.2,76.45,75.84,93.75,94.19,95.38,76.9,77.01,97.54,80.46,92.54,76.82,89.49,96.9,81.99,82.18,94.84,82.94,87.8,75.86,90.14,77.23
15,Female,Academic,95.62,93.41,94.06,86.57,92.96,81.71,84.54,87.83,99.76,95.16,94.71,89.38,86.85,82.88,85.29,91.25,79.02,94.58,82.93,92.04,77.24,78.59,86.5,76.3,82.69,88.33,81.39,78.24,81.65,99.08,93.03,77.32
16,Female,Academic,91.84,79.69,87.78,84.42,81.31,99.91,98.37,97.01,83.75,90.74,90.03,79.68,93.55,80.5,87.4,90.51,89.22,80.64,87.6,95.5,85.88,99.76,79.67,77.51,76.64,79.98,88.82,75.83,96.6,94.88,92.53,87.1
17,Female,TVL,87.73,77.15,93.46,96.63,79.36,79.35,88.09,85.24,89.08,81.32,83.31,92.88,93.86,96.41,94.33,96.76,90.85,98.03,79.62,76.78,75.19,83.89,79.15,80.48,84.62,88.83,91.29,82.74,95.98,82,92.44,81.17
16,Male,TVL,94.2,92.94,76.22,87.57,83.25,88.41,77.91,79.53,84.28,79.69,95.91,83.14,76.21,82.75,91.54,78.85,81.08,96.14,90.07,84.7,99.49,98.26,84.77,77,89.18,79.03,89.44,81.49,79.79,96.05,99.74,91.83
17,Male,TVL,90.42,86.1,89.65,96.45,77.18,78.86,87.74,99.74,94.26,81.34,81.06,82.2,91.05,75.67,78.03,96.58,94.7,87.33,87.03,78.06,85.69,78.16,87.35,86.2,80.39,83.6,90.27,97.66,80.06,97.7,81.52,92.88
18,Male,Academic,97.89,84.46,77.52,87.34,78.31,82.4,87.15,82.14,87.68,79.92,77.02,99.01,99.56,88.15,99.63,79.66,99.62,86.55,96.47,90.89,79.18,95.25,91.42,97.73,93.22,98.33,95.89,98.71,84.4,99.99,87.3,82.51
18,Male,Academic,96.92,85.66,91.83,89.97,88.27,90.44,85.38,79.18,87.74,89.11,79.24,88.93,82.61,83.08,76.17,76.7,93.78,98.78,83.58,82.13,81.78,81.08,85.78,92.74,98.75,79.7,77.42,93.73,88.47,90.96,94.24,93.03
15,Female,TVL,82.64,76.87,76.68,90.45,89.61,88.96,81.36,81.8,75.68,84.89,94.72,86.5,95.63,78.87,91.5,89.35,82.87,80.26,96.04,97.36,96.72,82.7,79.21,91.49,88.41,86.78,95.11,75.47,87.1,89.26,84.92,95.35
18,Female,Academic,83.05,95.74,94.84,89.39,83.27,92.85,96.39,98.52,75.04,79.63,84.53,95.55,94.6,94.94,84.19,79.94,77.4,85.84,80.79,98.51,98.83,77.06,76.84,79,89.73,93.24,75.5,97.69,87.03,90.4,89.47,80.79
16,Male,Academic,80.14,95.48,77.66,79.9,96.84,83.82,94.48,76.76,99.37,88.89,80.19,75.05,92,84.62,80.53,82.63,81.52,91.02,78.17,77.62,91.94,82.1,88.55,88.62,84.05,90.65,99.15,85.91,81.06,81.48,98.97,75.85
17,Female,Academic,79.75,82.33,84.48,87.23,76.33,98.76,91.58,99.97,92.67,76.67,78.43,99.88,95.38,94.99,91.58,75.17,94.97,75.24,97.54,96.25,99.7,93.09,79.81,98.6,93.46,77.72,82.64,94.15,81.11,76.59,92.17,93.48
16,Female,TVL,79.01,79.81,79.67,97.86,85.98,81.39,90.31,94.15,98.15,91.19,78.35,76.24,88.67,99.42,87.35,83.94,76.56,81.41,84.59,85.19,79.9,81.4,89.77,89.32,79,92.68,79.44,95.08,94.02,78.72,85.72,88.15
18,Female,TVL,78.57,97.06,76.81,88.78,95.53,77.1,82.34,92.18,83.51,85.36,99.32,94.67,75.54,90.16,87.1,75.7,99.9,93.33,96.19,82.15,92.73,92.86,87.41,78.55,90.79,96.21,88.73,89.07,91.5,94.82,97.59,82.09
18,Male,Academic,76.48,84.42,91.5,75.57,81.3,95.12,84.94,94.37,89.77,79.73,81.44,93.66,81.48,75.88,96.25,91.57,87.02,86.11,91.18,96.04,87.47,99.48,91.75,85.34,93.56,79.02,82.42,75.08,81.25,94.26,88.2,76.57
17,Male,TVL,82.55,90.63,76.27,91.54,85.96,76.83,87.78,99.27,99.6,81.96,86.21,92.72,91.3,96.18,94.57,76.82,99.81,98.43,87.98,88.89,80.07,75.57,98.3,76.59,78.88,76.97,88.06,79.61,89.87,96.81,97.96,88.07
18,Female,Academic,95.39,79.2,92.76,97.74,89.85,84.09,99.43,79.31,83.6,83.79,92.6,97.9,99.09,78.27,98.6,76.19,85.75,90.59,83.53,85.44,92.19,80.72,83.44,97.18,76.86,92.74,97.28,96.96,96.64,81.28,76.02,77.54
16,Male,TVL,78.71,77.42,84.63,89.66,89.61,95.92,98.27,88.74,94.23,84.62,99.72,96.66,89.37,99.51,76.53,80.69,91.9,76.94,87.68,84.58,83.28,86.47,82.36,88.86,79.42,77.32,84.82,79.34,83.44,79.17,93.76,82.48
17,Male,TVL,88.66,89.63,86.65,81.51,82.65,84.5,90.98,76.45,85.27,86.27,90.53,76.87,88.78,95.39,99.71,75.76,96.45,93.72,77.62,90.86,77.93,94.79,99.43,75.75,95.61,84.14,89.66,82.72,82.46,98.37,87.29,88.18
15,Female,Academic,76.05,88.57,88.17,98.63,90.6,82.22,94.85,91.34,98.1,82,97.49,85.5,94.04,98.12,90.96,78.35,85.31,76.23,79.86,93.73,91.46,81.31,98.14,76.41,81.73,86.27,90.77,84.48,79.37,97.02,94.75,94.45
18,Male,Academic,88.09,89.71,85.14,86,96.64,79.52,79.64,82.48,84.47,75.6,76.04,75.11,99.74,99.42,84.87,93.5,81.69,78.33,81.3,76.73,88.71,93.93,82.6,89.21,94.22,91.24,93.03,80.78,76.98,77.21,85.52,97.79
15,Male,TVL,81.44,94,89.99,95.39,91.75,84.52,75.78,86.86,91.96,87.54,95.52,79.46,93.99,79.79,84.7,79.39,91.72,94.42,81.7,84.01,98.42,83.42,85.93,78.38,93.18,99.65,94.83,80.15,96.73,79.78,98.88,95.28
16,Male,TVL,91.71,78.16,98.81,93.5,91.46,88.02,86.56,97.99,83.18,78.64,87.5,88.9,78.34,94.78,87.52,98.41,99.33,86.87,86.63,96.85,84.79,84.86,75.52,94.61,92.98,78.81,87.3,76.1,80.53,85.08,95.33,97.03
16,Female,Academic,89.98,99.93,75.4,95.34,95,92.52,89.91,87,81.32,92.88,89.3,82.02,76.85,95.2,94.37,83.78,93.71,86.24,86.07,82.82,94.75,89.37,80.28,76.05,81.71,78.1,99.48,84.78,98.25,79.39,87.62,84.52
16,Female,TVL,88.28,98.11,90.56,97.51,75.31,83.55,93.58,80.71,96.52,84.91,98.56,99.92,95.26,93.53,94.7,81.51,90.47,78.38,97.53,77.45,88.03,79.86,99.96,93.4,87.59,88.92,90.21,88.9,84.37,99.44,78.8,96.9
15,Female,Academic,81.61,85.49,94.19,83.03,75.16,95.93,85.11,81.57,75.55,87.9,96.76,84.18,85.94,81.39,97.94,84.32,85.43,81.67,93.47,82.79,92.09,96.85,77.41,91.8,99.62,95.57,83.66,79.89,89.21,83.65,95.11,84.21
16,Female,TVL,89.27,90.66,77.94,99.91,75.97,99.51,96.95,77.75,79.41,99.48,90.94,78.28,80.06,99.49,84.2,95.21,88.88,87.48,86.88,99.01,84.76,95.85,93.9,75.96,90.86,86.4,91.99,79.84,78.98,78.9,89.09,77.34
17,Male,TVL,91.75,79.12,84.39,84.7,80.63,94.85,90.35,92.69,99.67,82.82,89.22,98.95,79.14,87.25,85.52,81.54,95.23,88.39,95.61,96.75,81.9,84.08,87.24,85.03,79.67,98.42,90.57,87.2,76.99,82.88,79.65,88.62
18,Female,Academic,81.04,90.01,89.18,79.78,82.46,79.9,77.04,78,83.07,75.63,79.9,78.98,80.06,90.25,92.9,84.45,95.78,89.44,76.4,85.2,99.69,90.51,83.32,88.85,86.03,92.03,80.33,86.68,84.21,80.31,90.73,90.69
18,Female,Academic,85.51,81.13,98.43,99.03,79.41,88.86,99.37,90.99,87.82,89.26,94.34,98.91,98.4,86.22,89.65,78.65,94.05,97.49,89.85,87.3,85.48,80.91,81.89,76.54,78.82,87.05,90.24,90.87,91.35,91.94,85.47,95.44
15,Female,TVL,80.36,97.17,99.37,77.83,79.36,97.74,84.16,98.32,98.45,89.03,89.35,88.83,94.16,84.79,98.04,89.29,77.54,84.31,99.9,85.39,88.5,82.65,97.79,75.28,93.52,93.24,92.18,99.19,96.02,85.55,81.21,93.16
